Tiempo,Temperatura,Humedad,Dirección del viento,Velocidad del viento,Presión barométrica,Precipitación,Batería
"2024-05-18 00:14:47","29.2 ℃","78.5 %","25 °","0.7 m/s","1002.7 hPa","0 mm","98 %",
"2024-05-18 00:29:46","29.2 ℃","79 %","60.9 °","1.7 m/s","1002.7 hPa","0 mm","98 %",
"2024-05-18 00:44:46","29.1 ℃","79.5 %","74.9 °","2.3 m/s","1002.5 hPa","0 mm","98 %",
"2024-05-18 00:59:46","29 ℃","79.5 %","19.9 °","1.3 m/s","1002.3 hPa","0 mm","96 %",
"2024-05-18 01:14:46","29 ℃","80 %","53.3 °","0.9 m/s","1002.4 hPa","0 mm","96 %",
"2024-05-18 01:29:46","29.1 ℃","79.5 %","343.2 °","0.7 m/s","1002.7 hPa","0 mm","96 %",
"2024-05-18 01:44:47","29.3 ℃","79 %","64.5 °","1.3 m/s","1002.7 hPa","0 mm","96 %",
"2024-05-18 01:59:46","29.3 ℃","79 %","78.3 °","2.3 m/s","1002.4 hPa","0 mm","95 %",
"2024-05-18 02:14:46","29.2 ℃","79 %","11.1 °","0.9 m/s","1002.4 hPa","0 mm","95 %",
"2024-05-18 02:29:46","29.3 ℃","79.5 %","326.1 °","0.9 m/s","1002.4 hPa","0 mm","95 %",
"2024-05-18 02:44:46","29.2 ℃","79.5 %","37.6 °","1.3 m/s","1002.3 hPa","0 mm","95 %",
"2024-05-18 02:59:46","29.1 ℃","79.5 %","165.9 °","0.4 m/s","1002.4 hPa","0 mm","94 %",
"2024-05-18 03:14:46","29 ℃","79.5 %","85.3 °","1.8 m/s","1002.2 hPa","0 mm","94 %",
"2024-05-18 03:29:46","28.9 ℃","79.5 %","80.7 °","0.9 m/s","1002.3 hPa","0 mm","94 %",
"2024-05-18 03:44:46","28.9 ℃","79.5 %","50.2 °","1.1 m/s","1002.4 hPa","0 mm","94 %",
"2024-05-18 03:59:46","28.9 ℃","79 %","71.9 °","2.2 m/s","1002.6 hPa","0 mm","93 %",
"2024-05-18 04:14:46","29 ℃","78.5 %","242.1 °","1.2 m/s","1002.8 hPa","0 mm","93 %",
"2024-05-18 04:29:46","29 ℃","78.5 %","86.7 °","1.8 m/s","1002.7 hPa","0 mm","93 %",
"2024-05-18 04:44:46","29 ℃","78.5 %","323.9 °","0.8 m/s","1002.7 hPa","0 mm","93 %",
"2024-05-18 04:59:46","28.8 ℃","78.5 %","99.6 °","1 m/s","1003.1 hPa","0 mm","93 %",
"2024-05-18 05:14:46","28.8 ℃","79 %","5.4 °","0.9 m/s","1003.3 hPa","0 mm","91 %",
"2024-05-18 05:29:46","28.7 ℃","79 %","329.4 °","1.5 m/s","1003.5 hPa","0 mm","91 %",
"2024-05-18 05:44:46","28.5 ℃","79.5 %","319.2 °","0.8 m/s","1003.6 hPa","0 mm","91 %",
"2024-05-18 05:59:46","28.5 ℃","79.5 %","44.7 °","0.7 m/s","1003.7 hPa","0 mm","91 %",
"2024-05-18 06:14:46","28.6 ℃","79 %","314.8 °","0.3 m/s","1003.8 hPa","0 mm","91 %",
"2024-05-18 06:29:46","28.8 ℃","78 %","33.6 °","0.7 m/s","1004.1 hPa","0 mm","90 %",
"2024-05-18 06:44:46","29.3 ℃","76 %","101.1 °","1.5 m/s","1004.1 hPa","0 mm","90 %",
"2024-05-18 06:59:46","29.8 ℃","74.5 %","69.7 °","0.5 m/s","1004.5 hPa","0 mm","90 %",
"2024-05-18 07:14:46","29.9 ℃","73.5 %","100.2 °","1.7 m/s","1005.2 hPa","0 mm","90 %",
"2024-05-18 07:29:46","30.5 ℃","71.5 %","330.2 °","0.3 m/s","1005.2 hPa","0 mm","92 %",
"2024-05-18 07:44:46","30.6 ℃","70 %","334.4 °","0.9 m/s","1005.2 hPa","0 mm","92 %",
"2024-05-18 07:59:46","31 ℃","68.5 %","151.7 °","0.6 m/s","1005.4 hPa","0 mm","92 %",
"2024-05-18 08:14:46","30.8 ℃","69.5 %","77.5 °","1.2 m/s","1005.6 hPa","0 mm","92 %",
"2024-05-18 08:29:46","31.5 ℃","67 %","273.8 °","0.4 m/s","1005.6 hPa","0 mm","95 %",
"2024-05-18 08:44:46","32.9 ℃","62.5 %","115.3 °","1 m/s","1005.7 hPa","0 mm","95 %",
"2024-05-18 08:59:46","32.9 ℃","61 %","69.5 °","1.6 m/s","1005.7 hPa","0 mm","95 %",
"2024-05-18 09:14:46","33.3 ℃","60.5 %","348.1 °","2 m/s","1005.8 hPa","0 mm","95 %",
"2024-05-18 09:29:46","34.2 ℃","56.5 %","100.5 °","0.8 m/s","1005.9 hPa","0 mm","95 %",
"2024-05-18 09:44:46","34.1 ℃","55 %","44 °","1.1 m/s","1005.8 hPa","0 mm","100 %",
"2024-05-18 09:59:46","34.5 ℃","54 %","338 °","1.8 m/s","1005.7 hPa","0 mm","100 %",
"2024-05-18 10:14:49","34.8 ℃","53.5 %","81.8 °","2.7 m/s","1005.6 hPa","0 mm","100 %",
"2024-05-18 10:29:46","35.5 ℃","51.5 %","58.1 °","0.7 m/s","1005.6 hPa","0 mm","100 %",
"2024-05-18 10:44:46","35.7 ℃","50 %","1.4 °","0.7 m/s","1005.4 hPa","0 mm","100 %",
"2024-05-18 10:59:46","36.1 ℃","49 %","338.4 °","0.5 m/s","1005.3 hPa","0 mm","100 %",
"2024-05-18 11:14:46","35.6 ℃","50 %","11 °","0.4 m/s","1005.2 hPa","0 mm","100 %",
"2024-05-18 11:29:46","35.4 ℃","50.5 %","358.3 °","0.8 m/s","1005 hPa","0 mm","100 %",
"2024-05-18 11:44:46","36 ℃","48.5 %","8.2 °","1 m/s","1004.9 hPa","0 mm","100 %",
"2024-05-18 11:59:46","37.1 ℃","46 %","138.9 °","0.4 m/s","1004.7 hPa","0 mm","100 %",
"2024-05-18 12:14:46","37 ℃","46.5 %","4.9 °","1.8 m/s","1004.4 hPa","0 mm","100 %",
"2024-05-18 12:29:46","36.9 ℃","46.5 %","352.5 °","1.8 m/s","1004.2 hPa","0 mm","100 %",
"2024-05-18 12:44:46","38.7 ℃","42.5 %","82.9 °","2.2 m/s","1004.1 hPa","0 mm","100 %",
"2024-05-18 12:59:46","37.7 ℃","44.5 %","63.5 °","1.4 m/s","1003.8 hPa","0 mm","100 %",
"2024-05-18 13:14:46","38.1 ℃","43.5 %","41.2 °","2.4 m/s","1003.6 hPa","0 mm","100 %",
"2024-05-18 13:29:46","38.3 ℃","43 %","3.7 °","0.6 m/s","1003.3 hPa","0 mm","100 %",
"2024-05-18 13:44:46","38.4 ℃","43.5 %","81.5 °","0.7 m/s","1003.1 hPa","0 mm","100 %",
"2024-05-18 13:59:46","38.3 ℃","43.5 %","63.8 °","1.7 m/s","1002.8 hPa","0 mm","100 %",
"2024-05-18 14:14:46","37.6 ℃","45.5 %","88.8 °","1.4 m/s","1002.5 hPa","0 mm","100 %",
"2024-05-18 14:29:46","38.5 ℃","44 %","62.2 °","1.5 m/s","1002.5 hPa","0 mm","100 %",
"2024-05-18 14:44:46","38.1 ℃","44.5 %","68.3 °","3.5 m/s","1002.1 hPa","0 mm","100 %",
"2024-05-18 14:59:46","37.6 ℃","46 %","76.8 °","2 m/s","1002 hPa","0 mm","100 %",
"2024-05-18 15:14:46","37.8 ℃","45 %","318.1 °","1.3 m/s","1001.9 hPa","0 mm","100 %",
"2024-05-18 15:29:47","37.6 ℃","45.5 %","71.4 °","1.9 m/s","1001.8 hPa","0 mm","100 %",
"2024-05-18 15:44:47","37.4 ℃","46 %","53.3 °","2.2 m/s","1001.7 hPa","0 mm","100 %",
"2024-05-18 15:59:47","37.3 ℃","46.5 %","62 °","1.8 m/s","1001.8 hPa","0 mm","100 %",
"2024-05-18 16:14:47","36.9 ℃","47.5 %","57.1 °","2.1 m/s","1001.6 hPa","0 mm","100 %",
"2024-05-18 16:29:47","35.8 ℃","49.5 %","67.9 °","3.1 m/s","1001.4 hPa","0 mm","100 %",
"2024-05-18 16:44:46","35.8 ℃","50 %","66.7 °","3.2 m/s","1001.4 hPa","0 mm","100 %",
"2024-05-18 16:59:47","35.5 ℃","50.5 %","59.7 °","3 m/s","1001.2 hPa","0 mm","100 %",
"2024-05-18 17:14:47","35 ℃","51.5 %","74.3 °","2.5 m/s","1001.3 hPa","0 mm","100 %",
"2024-05-18 17:29:47","34.9 ℃","51.5 %","94.4 °","1 m/s","1001.7 hPa","0 mm","100 %",
"2024-05-18 17:44:47","33.8 ℃","56 %","62.2 °","1.8 m/s","1001.8 hPa","0.01 mm","100 %",
"2024-05-18 17:59:47","33.4 ℃","58 %","86.4 °","1.9 m/s","1002.2 hPa","0.01 mm","100 %",
"2024-05-18 18:14:47","32.7 ℃","59.5 %","46.4 °","3.7 m/s","1002.4 hPa","0.01 mm","100 %",
"2024-05-18 18:29:47","32.3 ℃","60 %","84.6 °","2.5 m/s","1002.6 hPa","0.01 mm","100 %",
"2024-05-18 18:44:47","31.8 ℃","63 %","64.9 °","1.7 m/s","1002.7 hPa","0.01 mm","100 %",
"2024-05-18 18:59:47","31.5 ℃","64.5 %","79.1 °","3.5 m/s","1002.6 hPa","0.01 mm","100 %",
"2024-05-18 19:14:47","31.1 ℃","67 %","67.7 °","3.3 m/s","1003.1 hPa","0.01 mm","100 %",
"2024-05-18 19:29:47","30.8 ℃","68 %","69.2 °","2.4 m/s","1003.3 hPa","0.01 mm","100 %",
"2024-05-18 19:45:02","30.6 ℃","69.5 %","67.6 °","2.3 m/s","1003.2 hPa","0.01 mm","100 %",
"2024-05-18 19:59:47","30.3 ℃","71 %","70.2 °","3.6 m/s","1003.5 hPa","0.01 mm","100 %",
"2024-05-18 20:14:47","30.1 ℃","73 %","72.8 °","2.5 m/s","1003.8 hPa","0.01 mm","100 %",
"2024-05-18 20:29:47","29.9 ℃","74 %","66.7 °","2.4 m/s","1004.3 hPa","0.01 mm","100 %",
"2024-05-18 20:44:48","29.8 ℃","75 %","46.7 °","1.6 m/s","1004.6 hPa","0.01 mm","100 %",
"2024-05-18 20:59:47","29.6 ℃","76.5 %","83 °","2.1 m/s","1004.9 hPa","0.01 mm","100 %",
"2024-05-18 21:14:49","29.5 ℃","77.5 %","77.3 °","1.9 m/s","1004.9 hPa","0.01 mm","100 %",
"2024-05-18 21:29:47","29.4 ℃","78.5 %","74.7 °","1.8 m/s","1005.2 hPa","0.01 mm","100 %",
"2024-05-18 21:44:47","29.4 ℃","78.5 %","82.1 °","2 m/s","1005.7 hPa","0.01 mm","100 %",
"2024-05-18 21:59:47","29.3 ℃","79.5 %","45.1 °","1.3 m/s","1005.8 hPa","0.01 mm","100 %",
"2024-05-18 22:14:47","29.2 ℃","80 %","44.9 °","1.4 m/s","1006.2 hPa","0.01 mm","100 %",
"2024-05-18 22:29:47","29.2 ℃","80 %","60.5 °","1.4 m/s","1006.3 hPa","0.01 mm","100 %",
"2024-05-18 22:44:49","29.2 ℃","80 %","56 °","1.9 m/s","1006.3 hPa","0.01 mm","100 %",
"2024-05-18 22:59:47","29.1 ℃","81 %","68.8 °","1.5 m/s","1006.4 hPa","0.01 mm","100 %",
"2024-05-18 23:14:51","29 ℃","81.5 %","88.9 °","1.5 m/s","1006.1 hPa","0.01 mm","100 %",
"2024-05-18 23:29:47","28.9 ℃","81.5 %","81.3 °","2.7 m/s","1006.3 hPa","0.01 mm","100 %",
"2024-05-18 23:44:47","28.9 ℃","81 %","70.2 °","1.7 m/s","1006.6 hPa","0.01 mm","98 %",
"2024-05-18 23:59:47","28.9 ℃","81 %","69.3 °","1.3 m/s","1006.6 hPa","0.01 mm","98 %",
"2024-05-19 00:14:47","28.8 ℃","82 %","83.4 °","1.2 m/s","1006.3 hPa","0.01 mm","98 %",
"2024-05-19 00:29:47","28.7 ℃","81.5 %","66.8 °","1.3 m/s","1006.3 hPa","0.01 mm","98 %",
"2024-05-19 00:44:47","28.8 ℃","81.5 %","59.8 °","0.5 m/s","1006.6 hPa","0.01 mm","98 %",
"2024-05-19 00:59:49","28.9 ℃","80.5 %","8.3 °","0.4 m/s","1006.6 hPa","0.01 mm","96 %",
"2024-05-19 01:14:47","28.9 ℃","80 %","24.7 °","0.5 m/s","1006.6 hPa","0.01 mm","96 %",
"2024-05-19 01:29:47","28.9 ℃","80.5 %","77.9 °","0.8 m/s","1006.5 hPa","0.01 mm","96 %",
"2024-05-19 01:44:47","28.9 ℃","80.5 %","13.2 °","0.5 m/s","1006.3 hPa","0.01 mm","96 %",
"2024-05-19 01:59:47","28.9 ℃","81 %","83.4 °","0.5 m/s","1006.4 hPa","0.01 mm","96 %",
"2024-05-19 02:14:47","28.8 ℃","81.5 %","82.4 °","1 m/s","1006.1 hPa","0.01 mm","95 %",
"2024-05-19 02:29:47","28.7 ℃","82 %","21.5 °","0.5 m/s","1006.2 hPa","0.01 mm","95 %",
"2024-05-19 02:44:47","28.7 ℃","81 %","347.4 °","0.5 m/s","1006 hPa","0.01 mm","95 %",
"2024-05-19 02:59:47","28.7 ℃","81 %","82.8 °","1.3 m/s","1005.9 hPa","0.01 mm","95 %",
"2024-05-19 03:14:47","28.5 ℃","82.5 %","55.8 °","0.5 m/s","1005.6 hPa","0.01 mm","94 %",
"2024-05-19 03:29:47","28.4 ℃","82 %","29.3 °","0.6 m/s","1005.6 hPa","0.01 mm","94 %",
"2024-05-19 03:44:47","28.3 ℃","82 %","47.4 °","0.8 m/s","1005.7 hPa","0.01 mm","94 %",
"2024-05-19 03:59:47","28.2 ℃","82 %","109.6 °","0.9 m/s","1005.8 hPa","0.01 mm","94 %",
"2024-05-19 04:14:47","28.2 ℃","82 %","343.8 °","0.7 m/s","1006 hPa","0.01 mm","93 %",
"2024-05-19 04:29:47","28.3 ℃","82 %","7.8 °","0.6 m/s","1006.2 hPa","0.01 mm","93 %",
"2024-05-19 04:44:46","28.1 ℃","83.5 %","351.2 °","0.8 m/s","1006.3 hPa","0.01 mm","93 %",
"2024-05-19 04:59:47","27.4 ℃","84.5 %","260.3 °","0.4 m/s","1006.5 hPa","0.01 mm","93 %",
"2024-05-19 05:14:47","27.1 ℃","86.5 %","243.2 °","0.6 m/s","1006.7 hPa","0.01 mm","91 %",
"2024-05-19 05:29:47","27.1 ℃","86.5 %","257.3 °","0.6 m/s","1006.9 hPa","0.01 mm","91 %",
"2024-05-19 05:44:47","27.1 ℃","86.5 %","262.2 °","0.2 m/s","1007 hPa","0.01 mm","91 %",
"2024-05-19 05:59:47","27.2 ℃","86.5 %","277.9 °","0.1 m/s","1007.2 hPa","0.01 mm","91 %",
"2024-05-19 06:14:47","27.3 ℃","86 %","256.9 °","0.2 m/s","1007.5 hPa","0.01 mm","91 %",
"2024-05-19 06:29:49","27.6 ℃","84.5 %","334.9 °","0.5 m/s","1007.6 hPa","0.01 mm","90 %",
"2024-05-19 06:44:46","28.1 ℃","83 %","73.8 °","0.7 m/s","1007.6 hPa","0.01 mm","90 %",
"2024-05-19 06:59:46","28.6 ℃","80.5 %","43.5 °","0.6 m/s","1007.7 hPa","0.01 mm","90 %",
"2024-05-19 07:14:47","29.4 ℃","78 %","276 °","0.2 m/s","1007.9 hPa","0.01 mm","90 %",
"2024-05-19 07:29:47","29.5 ℃","77.5 %","270.7 °","0.1 m/s","1008.1 hPa","0.02 mm","91 %",
"2024-05-19 07:44:47","30.3 ℃","75 %","5.3 °","0.3 m/s","1008.2 hPa","0.02 mm","91 %",
"2024-05-19 07:59:47","31.2 ℃","71.5 %","94.5 °","0.4 m/s","1008.1 hPa","0.02 mm","91 %",
"2024-05-19 08:14:47","31.7 ℃","69 %","128.6 °","1.1 m/s","1007.9 hPa","0.02 mm","91 %",
"2024-05-19 08:29:47","32.1 ℃","67 %","12.3 °","1.3 m/s","1008 hPa","0.02 mm","95 %",
"2024-05-19 08:44:46","32.4 ℃","64.5 %","350.4 °","1 m/s","1007.8 hPa","0.02 mm","95 %",
"2024-05-19 08:59:47","33.4 ℃","62 %","76.6 °","1 m/s","1007.8 hPa","0.02 mm","95 %",
"2024-05-19 09:14:47","32.1 ℃","64 %","337.7 °","1.1 m/s","1007.7 hPa","0.02 mm","95 %",
"2024-05-19 09:29:47","33.1 ℃","60 %","211.5 °","0.8 m/s","1007.7 hPa","0.02 mm","100 %",
"2024-05-19 09:44:47","34.3 ℃","56 %","333 °","1 m/s","1007.7 hPa","0.02 mm","100 %",
"2024-05-19 09:59:47","34.8 ℃","53 %","28.4 °","0.4 m/s","1007.7 hPa","0.02 mm","100 %",
"2024-05-19 10:14:48","35 ℃","52 %","69.9 °","2.6 m/s","1007.6 hPa","0.02 mm","100 %",
"2024-05-19 10:29:47","35.8 ℃","49 %","138.5 °","2.8 m/s","1007.6 hPa","0.02 mm","100 %",
"2024-05-19 10:44:47","35.8 ℃","49.5 %","274.2 °","1.4 m/s","1007.3 hPa","0.02 mm","100 %",
"2024-05-19 10:59:47","35 ℃","50.5 %","320.7 °","1.6 m/s","1007.1 hPa","0.02 mm","100 %",
"2024-05-19 11:14:47","35.9 ℃","46.5 %","286.3 °","1 m/s","1007 hPa","0.03 mm","100 %",
"2024-05-19 11:29:47","36.4 ℃","46 %","68.8 °","1.1 m/s","1006.7 hPa","0.03 mm","100 %",
"2024-05-19 11:44:47","36 ℃","46.5 %","262.5 °","1.4 m/s","1006.4 hPa","0.03 mm","100 %",
"2024-05-19 11:59:47","35.3 ℃","48.5 %","5.4 °","0.2 m/s","1006.1 hPa","0.03 mm","100 %",
"2024-05-19 12:14:47","36.5 ℃","45.5 %","72.6 °","1.5 m/s","1005.9 hPa","0.03 mm","100 %",
"2024-05-19 12:29:47","37.9 ℃","41.5 %","154.8 °","1.2 m/s","1005.6 hPa","0.03 mm","100 %",
"2024-05-19 12:44:47","38.4 ℃","40.5 %","66.2 °","1.8 m/s","1005.3 hPa","0.03 mm","100 %",
"2024-05-19 12:59:47","38.3 ℃","40.5 %","346.9 °","1.4 m/s","1004.9 hPa","0.03 mm","100 %",
"2024-05-19 13:14:47","39 ℃","42 %","60 °","1 m/s","1004.6 hPa","0.03 mm","100 %",
"2024-05-19 13:29:47","39 ℃","42 %","195.5 °","1.3 m/s","1004.3 hPa","0.03 mm","100 %",
"2024-05-19 13:44:47","39 ℃","42.5 %","86.4 °","3.1 m/s","1004.2 hPa","0.03 mm","100 %",
"2024-05-19 13:59:47","39 ℃","41 %","72.4 °","1.8 m/s","1003.8 hPa","0.03 mm","100 %",
"2024-05-19 14:14:47","38.8 ℃","41 %","69.4 °","0.9 m/s","1003.5 hPa","0.03 mm","100 %",
"2024-05-19 14:29:47","39.3 ℃","39.5 %","54.5 °","2.1 m/s","1003.2 hPa","0.03 mm","100 %",
"2024-05-19 14:44:47","40.2 ℃","37.5 %","161.3 °","1.7 m/s","1002.8 hPa","0.03 mm","100 %",
"2024-05-19 14:59:51"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-05-19 15:14:47","39.3 ℃","44 %","79.2 °","1.9 m/s","1002.3 hPa","0.03 mm","100 %",
"2024-05-19 15:29:47","38.4 ℃","47.5 %","89.1 °","6.2 m/s","1002.1 hPa","0.03 mm","100 %",
"2024-05-19 15:44:47","37.7 ℃","49 %","52.9 °","1.9 m/s","1002 hPa","0.03 mm","100 %",
"2024-05-19 15:59:47","37.6 ℃","49 %","80.1 °","2 m/s","1001.9 hPa","0.03 mm","100 %",
"2024-05-19 16:14:47","37.1 ℃","51 %","40.2 °","5.8 m/s","1001.8 hPa","0.03 mm","100 %",
"2024-05-19 16:29:47","36.2 ℃","53.5 %","71.6 °","3.9 m/s","1001.8 hPa","0.03 mm","100 %",
"2024-05-19 16:44:47","35.9 ℃","54.5 %","65.2 °","5.9 m/s","1001.9 hPa","0.03 mm","100 %",
"2024-05-19 16:59:48","35.3 ℃","56.5 %","64.2 °","2.2 m/s","1001.8 hPa","0 mm","100 %",
"2024-05-19 17:14:48","34.8 ℃","57.5 %","76 °","2.8 m/s","1001.7 hPa","0 mm","100 %",
"2024-05-19 17:29:47","34.1 ℃","60.5 %","74.1 °","2.6 m/s","1001.8 hPa","0 mm","100 %",
"2024-05-19 17:44:47","33.4 ℃","62 %","83.3 °","1.2 m/s","1002 hPa","0 mm","100 %",
"2024-05-19 17:59:47","32.9 ℃","63.5 %","47.9 °","1.6 m/s","1002 hPa","0 mm","100 %",
"2024-05-19 18:14:47","32.4 ℃","64.5 %","77.2 °","3.7 m/s","1002.1 hPa","0 mm","100 %",
"2024-05-19 18:29:47","31.8 ℃","66 %","73.1 °","4.3 m/s","1002.5 hPa","0 mm","100 %",
"2024-05-19 18:44:47","31.1 ℃","69 %","68 °","5.3 m/s","1002.9 hPa","0 mm","100 %",
"2024-05-19 18:59:47","30.5 ℃","71 %","58 °","4.2 m/s","1003.2 hPa","0 mm","100 %",
"2024-05-19 19:14:47","30.2 ℃","73 %","67.3 °","3.8 m/s","1003.4 hPa","0 mm","100 %",
"2024-05-19 19:29:47","29.9 ℃","74.5 %","73.1 °","3.6 m/s","1003.6 hPa","0 mm","100 %",
"2024-05-19 19:44:47","29.6 ℃","76 %","54.7 °","1.8 m/s","1003.9 hPa","0 mm","100 %",
"2024-05-19 19:59:48","29.4 ℃","77 %","64.8 °","3.1 m/s","1004 hPa","0 mm","100 %",
"2024-05-19 20:14:48","29.3 ℃","77.5 %","68.3 °","2.3 m/s","1004.5 hPa","0 mm","100 %",
"2024-05-19 20:29:47","29.3 ℃","77.5 %","66.5 °","2.3 m/s","1004.6 hPa","0 mm","100 %",
"2024-05-19 20:44:47","29.2 ℃","78 %","67.7 °","1.4 m/s","1004.8 hPa","0 mm","100 %",
"2024-05-19 20:59:47","29.1 ℃","78.5 %","71.2 °","2 m/s","1004.8 hPa","0 mm","100 %",
"2024-05-19 21:14:47","28.9 ℃","79 %","69.8 °","3 m/s","1005 hPa","0 mm","100 %",
"2024-05-19 21:29:47","28.9 ℃","79.5 %","72.7 °","3 m/s","1005.2 hPa","0 mm","100 %",
"2024-05-19 21:44:47","28.8 ℃","80 %","67.5 °","1.8 m/s","1005.3 hPa","0 mm","100 %",
"2024-05-19 21:59:47","28.8 ℃","80 %","69.5 °","2.3 m/s","1005.4 hPa","0 mm","100 %",
"2024-05-19 22:14:47","28.7 ℃","80.5 %","82 °","1.6 m/s","1005.6 hPa","0 mm","100 %",
"2024-05-19 22:29:47","28.8 ℃","81 %","98.1 °","1.5 m/s","1005.7 hPa","0 mm","100 %",
"2024-05-19 22:44:47","28.9 ℃","81 %","79.4 °","2.3 m/s","1005.8 hPa","0 mm","100 %",
"2024-05-19 22:59:48","28.9 ℃","80.5 %","78.1 °","1.9 m/s","1006 hPa","0 mm","100 %",
"2024-05-19 23:14:47","28.9 ℃","80.5 %","82.8 °","1.9 m/s","1006.1 hPa","0 mm","99 %",
"2024-05-19 23:29:52","29.1 ℃","80 %","68.6 °","1.1 m/s","1006.2 hPa","0 mm","99 %",
"2024-05-19 23:44:47","29.1 ℃","80 %","65.8 °","1.8 m/s","1006 hPa","0 mm","99 %",
"2024-05-19 23:59:47","28.9 ℃","80.5 %","77.7 °","1.6 m/s","1006 hPa","0 mm","99 %",
"2024-05-20 00:14:47","28.9 ℃","80 %","92.9 °","1.8 m/s","1005.8 hPa","0 mm","97 %",
"2024-05-20 00:29:47","29 ℃","80 %","55.2 °","0.6 m/s","1005.7 hPa","0 mm","97 %",
"2024-05-20 00:44:47","29 ℃","80 %","71.3 °","1 m/s","1005.4 hPa","0 mm","97 %",
"2024-05-20 00:59:47","28.9 ℃","80.5 %","82.8 °","0.8 m/s","1005.2 hPa","0 mm","97 %",
"2024-05-20 01:14:47","28.9 ℃","80.5 %","73.3 °","1 m/s","1005.2 hPa","0 mm","96 %",
"2024-05-20 01:29:47","28.9 ℃","80.5 %","89.4 °","1.1 m/s","1005 hPa","0 mm","96 %",
"2024-05-20 01:44:47","28.9 ℃","80 %","23.2 °","0.4 m/s","1004.7 hPa","0 mm","96 %",
"2024-05-20 01:59:47","28.9 ℃","80.5 %","79.4 °","0.8 m/s","1004.5 hPa","0 mm","96 %",
"2024-05-20 02:14:47","28.9 ℃","80 %","71.9 °","0.8 m/s","1004.4 hPa","0 mm","96 %",
"2024-05-20 02:29:47","28.8 ℃","81 %","51.4 °","0.7 m/s","1004.1 hPa","0 mm","94 %",
"2024-05-20 02:44:54","28.6 ℃","82 %","2.2 °","0.9 m/s","1003.8 hPa","0 mm","94 %",
"2024-05-20 02:59:47","28.2 ℃","83 %","82 °","0.5 m/s","1003.7 hPa","0 mm","94 %",
"2024-05-20 03:14:47","28.1 ℃","83.5 %","0 °","0.8 m/s","1003.6 hPa","0 mm","94 %",
"2024-05-20 03:29:47","28 ℃","83.5 %","56.6 °","0.6 m/s","1003.5 hPa","0 mm","94 %",
"2024-05-20 03:44:47","27.9 ℃","84 %","28.5 °","0.5 m/s","1003.6 hPa","0 mm","93 %",
"2024-05-20 03:59:47","27.8 ℃","84 %","324.3 °","0.8 m/s","1003.5 hPa","0 mm","93 %",
"2024-05-20 04:14:47","27.9 ℃","84 %","284.6 °","0.6 m/s","1003.6 hPa","0 mm","93 %",
"2024-05-20 04:29:47","27.7 ℃","84 %","323.7 °","0.6 m/s","1003.6 hPa","0 mm","93 %",
"2024-05-20 04:44:47","27.8 ℃","84 %","295.8 °","0.8 m/s","1003.6 hPa","0 mm","92 %",
"2024-05-20 04:59:47","27.6 ℃","84 %","277 °","0.2 m/s","1003.6 hPa","0 mm","92 %",
"2024-05-20 05:14:47","27.5 ℃","84.5 %","301.6 °","0.6 m/s","1003.5 hPa","0 mm","92 %",
"2024-05-20 05:29:47","27.7 ℃","84 %","349.7 °","0.8 m/s","1003.6 hPa","0 mm","92 %",
"2024-05-20 05:44:47","27.7 ℃","85 %","328.7 °","0.8 m/s","1003.7 hPa","0 mm","92 %",
"2024-05-20 05:59:47","27.6 ℃","85.5 %","77.4 °","0.5 m/s","1003.8 hPa","0 mm","90 %",
"2024-05-20 06:14:49","28.3 ℃","83 %","344.5 °","0.6 m/s","1004 hPa","0 mm","90 %",
"2024-05-20 06:29:47","29.8 ℃","77.5 %","64.1 °","0.7 m/s","1004 hPa","0 mm","90 %",
"2024-05-20 06:44:47","30.6 ℃","74.5 %","95.4 °","1.2 m/s","1004.2 hPa","0 mm","90 %",
"2024-05-20 06:59:47","31.5 ℃","71.5 %","77.5 °","1 m/s","1004.4 hPa","0 mm","90 %",
"2024-05-20 07:14:47","31.1 ℃","72.5 %","25.6 °","0.6 m/s","1004.4 hPa","0 mm","91 %",
"2024-05-20 07:29:47","31.4 ℃","71 %","164.8 °","0.4 m/s","1004.5 hPa","0 mm","91 %",
"2024-05-20 07:44:47","33.1 ℃","64.5 %","130.3 °","0.6 m/s","1004.5 hPa","0 mm","91 %",
"2024-05-20 07:59:47","34.2 ℃","61 %","96.1 °","0.6 m/s","1004.5 hPa","0 mm","91 %",
"2024-05-20 08:14:47","34 ℃","60 %","321.2 °","0.5 m/s","1004.5 hPa","0 mm","91 %",
"2024-05-20 08:29:47","35.1 ℃","55 %","334 °","1.2 m/s","1004.5 hPa","0 mm","94 %",
"2024-05-20 08:44:47","35.7 ℃","53.5 %","47.2 °","0.7 m/s","1004.6 hPa","0 mm","94 %",
"2024-05-20 08:59:47","36.2 ℃","52 %","92.7 °","1.1 m/s","1004.7 hPa","0 mm","94 %",
"2024-05-20 09:14:47","34.9 ℃","54 %","73.5 °","1.6 m/s","1004.5 hPa","0 mm","94 %",
"2024-05-20 09:29:47","36.5 ℃","49 %","160.7 °","1.6 m/s","1004.6 hPa","0 mm","94 %",
"2024-05-20 09:44:47","36.8 ℃","47.5 %","71.4 °","1.2 m/s","1004.4 hPa","0 mm","100 %",
