Tiempo,Temperatura,Humedad,Dirección del viento,Velocidad del viento,Presión barométrica,Precipitación,Batería
"2024-11-15 00:01:21","22.3 ℃","92.5 %","141 °","0.8 m/s","1011.6 hPa","0 mm","97 %",
"2024-11-15 00:16:21","22.2 ℃","93 %","25.2 °","0 m/s","1011.6 hPa","0 mm","97 %",
"2024-11-15 00:31:21","22.1 ℃","93 %","149.3 °","0.9 m/s","1011.6 hPa","0 mm","95 %",
"2024-11-15 00:46:21","22 ℃","93 %","172.8 °","1.2 m/s","1011.5 hPa","0 mm","95 %",
"2024-11-15 01:01:21","21.8 ℃","93 %","159.5 °","0.8 m/s","1011.4 hPa","0 mm","95 %",
"2024-11-15 01:16:21","21.8 ℃","93.5 %","91.9 °","0.5 m/s","1011.3 hPa","0 mm","95 %",
"2024-11-15 01:31:21","21.6 ℃","93 %","155.4 °","0.3 m/s","1011.2 hPa","0 mm","95 %",
"2024-11-15 01:46:21","21.4 ℃","93.5 %","12.3 °","0.6 m/s","1010.9 hPa","0 mm","94 %",
"2024-11-15 02:01:21","21.2 ℃","93.5 %","205.7 °","0.2 m/s","1010.8 hPa","0 mm","94 %",
"2024-11-15 02:16:21","21.1 ℃","93.5 %","247.8 °","0.3 m/s","1010.6 hPa","0 mm","94 %",
"2024-11-15 02:31:21","21 ℃","93.5 %","328.5 °","0.2 m/s","1010.4 hPa","0 mm","94 %",
"2024-11-15 02:46:21","21 ℃","93.5 %","117 °","0.3 m/s","1010.2 hPa","0 mm","94 %",
"2024-11-15 03:01:21","20.8 ℃","93.5 %","330.7 °","0.2 m/s","1010.1 hPa","0 mm","92 %",
"2024-11-15 03:16:21","20.9 ℃","94 %","320.2 °","0.3 m/s","1010 hPa","0 mm","92 %",
"2024-11-15 03:31:21","20.8 ℃","93.5 %","355.4 °","0.2 m/s","1009.9 hPa","0 mm","92 %",
"2024-11-15 03:46:21","20.8 ℃","94 %","342.9 °","0.2 m/s","1009.8 hPa","0 mm","92 %",
"2024-11-15 04:01:21","20.7 ℃","94 %","325 °","0.2 m/s","1009.7 hPa","0 mm","92 %",
"2024-11-15 04:16:21","20.8 ℃","94 %","308.2 °","0.2 m/s","1009.6 hPa","0 mm","90 %",
"2024-11-15 04:31:21","20.8 ℃","94 %","0.4 °","0.1 m/s","1009.5 hPa","0 mm","90 %",
"2024-11-15 04:46:21","20.8 ℃","94 %","253 °","0.5 m/s","1009.4 hPa","0 mm","90 %",
"2024-11-15 05:01:21","20.8 ℃","94 %","149.7 °","0.1 m/s","1009.3 hPa","0 mm","90 %",
"2024-11-15 05:16:21","20.9 ℃","94 %","148 °","0.7 m/s","1009.6 hPa","0 mm","90 %",
"2024-11-15 05:31:21","20.9 ℃","94 %","99.7 °","0.8 m/s","1009.5 hPa","0 mm","89 %",
"2024-11-15 05:46:21","20.8 ℃","94 %","183.3 °","0.1 m/s","1009.4 hPa","0 mm","89 %",
"2024-11-15 06:01:21","20.8 ℃","94.5 %","98.3 °","0.7 m/s","1009.6 hPa","0 mm","89 %",
"2024-11-15 06:16:21","20.8 ℃","94.5 %","141.5 °","0.4 m/s","1009.7 hPa","0 mm","89 %",
"2024-11-15 06:31:21","20.8 ℃","94.5 %","104 °","0.5 m/s","1009.9 hPa","0 mm","88 %",
"2024-11-15 06:46:21","20.7 ℃","94.5 %","257.2 °","0.6 m/s","1010 hPa","0 mm","88 %",
"2024-11-15 07:01:21","20.6 ℃","94.5 %","50 °","0.5 m/s","1010 hPa","0 mm","88 %",
"2024-11-15 07:16:21","20.8 ℃","94.5 %","110.4 °","0.6 m/s","1010.2 hPa","0 mm","88 %",
"2024-11-15 07:31:21","20.8 ℃","94.5 %","102.4 °","0.5 m/s","1010.3 hPa","0.02 mm","88 %",
"2024-11-15 07:46:21","21 ℃","94.5 %","88.2 °","0.6 m/s","1010.6 hPa","0.02 mm","88 %",
"2024-11-15 08:01:21","21.2 ℃","94.5 %","359.5 °","0.2 m/s","1010.6 hPa","0.02 mm","88 %",
"2024-11-15 08:16:21","21.9 ℃","94.5 %","196.3 °","0.3 m/s","1011 hPa","0.02 mm","88 %",
"2024-11-15 08:31:21","22.8 ℃","93.5 %","247.9 °","0.2 m/s","1011.6 hPa","0.02 mm","88 %",
"2024-11-15 08:46:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 09:01:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 09:16:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 09:31:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 09:46:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 10:01:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 10:16:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 10:31:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 11:01:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 11:16:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 11:31:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 11:46:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-11-15 12:01:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
